date,open,high,low,close,volume,daily_return,rolling_avg_5d_close,rolling_vol_5d
2000-04-04,132.63,133.0,116.75,127.31,5895800.0,-0.04500787637836623,131.624,0.05828195079915762
2000-04-05,126.47,132.88,124.0,130.38,4086300.0,0.024114366506951423,130.512,0.06068409296146011
2000-04-06,130.63,134.5,123.25,125.19,2460400.0,-0.03980671882190523,130.4,0.052274478691827525
2000-04-07,127.25,131.88,125.5,131.75,2460400.0,0.052400351465772044,129.58800000000002,0.042230846131372894
2000-04-10,131.69,132.75,124.75,125.0,2460400.0,-0.05123339658444026,127.92600000000002,0.04704679078494209
2000-04-11,123.5,124.87,118.06,119.44,4837700.0,-0.044479999999999964,126.352,0.046954441508372885
2000-04-12,119.0,119.0,104.87,109.25,8403000.0,-0.08531480241125244,122.126,0.05132805739731127
2000-04-13,111.5,120.0,108.5,113.81,4730600.0,0.04173913043478272,119.85,0.06095073594213207
2000-04-14,109.31,118.0,109.0,111.87,5960900.0,-0.017045953782620082,115.874,0.047504048626486044
2000-04-17,109.5,123.94,109.06,123.87,3656800.0,0.10726736390453206,115.648,0.07549032178856846
2000-04-18,123.5,126.87,119.37,126.87,3490400.0,0.024218939210462587,117.13400000000001,0.07141396736010079
2000-04-19,126.19,130.25,119.75,121.12,4644200.0,-0.04532198313234015,119.508,0.05856997773676127
2000-04-20,123.69,124.75,117.06,118.87,6447500.0,-0.01857661822985468,120.52000000000001,0.05973208551146585
2000-04-24,115.0,120.5,114.75,120.5,3960900.0,0.013712458988811349,122.24600000000001,0.05778863551687901
2000-04-25,122.12,128.75,122.06,128.31,3496800.0,0.06481327800829884,123.13400000000001,0.04204972933298236
2000-04-26,126.62,128.0,120.0,121.31,3276000.0,-0.05455537370430985,122.022,0.048593727472170785
2000-04-27,117.19,127.0,116.58,126.75,2916100.0,0.04484378864067273,123.148,0.04800097786425927
2000-04-28,127.12,127.5,121.31,124.06,2460400.0,-0.02122287968441816,124.186,0.04840834509826188
2000-05-01,124.87,125.12,121.87,124.31,2460400.0,0.0020151539577624167,124.94800000000001,0.04843761781118728
2000-05-02,123.25,126.25,117.5,117.87,2460400.0,-0.05180596894859624,122.85999999999999,0.04129851664454049
2000-05-03,118.94,121.25,111.62,115.06,4373200.0,-0.023839823534402282,121.60999999999999,0.03611591699570958
2000-05-04,115.12,115.25,110.56,110.69,3567100.0,-0.037980184251694804,118.398,0.020125872442591067
2000-05-05,110.81,114.75,110.72,113.12,2536400.0,0.02195320263799805,116.21,0.029887272301056964
2000-05-08,112.09,113.69,110.0,110.12,2460400.0,-0.026520509193776465,113.372,0.027776069158598104
2000-05-09,110.31,111.25,104.87,105.44,2920900.0,-0.04249909189974577,110.88600000000001,0.025646807868457445
